Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Coordinates,Latitude,Longitude
10/4/1992,17:35,"Amsterdam, Netherlands",El Al,1862,Amsterdam - Tel Aviv,Boeing B-747-258F,4X-AXG,21737/362,4,4,47,"Shortly after taking off from Schiphol Airport, while climbing through 6,500 feet, the No. 3 engine separated with its pylon from the aircraft and damaged the leading edge of the right wing. The No. 3 engine separated in such a way that the No. 4 engine and pylon also separated from the wing. During an attempted return to the airport, the aircraft crashed into a 11 story building in the Bijlmermeer residential district. The design and certification of the B-747 pylon was found to be inadequate to provide the required level of safety. The system to ensure structural integrity by inspection failed. The separation of the No. 3 engine was initiated by fatigue (corrosion) in the inboard midspar fuse pin. This led to loss of the No. 4 engine and pylon and damage to several systems which ultimately led to loss of control of the aircraft.","52.3666969,4.8945398",52.3666969,4.8945398
8/27/1992,22:44," Ivanovo, Russia",Aeroflot,2808,Donetsk - Ivanovo,Tupolev TU-134A,CCCP-65058,49868,84,84,0,The aircraft crashed 1.5 miles from the airport during approach. Poor landing coordination by the flight crew.,"57.0050671,40.9766453",57.0050671,40.9766453
7/31/1992,12:45,"Kathmandu, Nepal",Thai Airways,311,Bangkok - Kathmandu,Airbus A310-304,HS-TID,438,113,113,0,"After experiencing difficulty in deploying the flaps while approaching Katmandu, the landing was aborted.  The ATC did not have radar service. After some confusing exchanges between the tower and the aircraft, the crew headed north instead of south to begin its second approach. The aircraft flew into a  vertical mountain wall at 240 knots. In the final seconds, the captain assessed the Ground Proximity Warning System warning as false. The accident was caused by a combination of occurrences, errors and actions by both the crew and ATC. The initial problem with the flaps, the lack of radar service, a misread chart by the crew, communication difficulties and the use of non-standard phraseology among other items led to the accident.","27.7172453,85.3239605",27.7172453,85.3239605
3/22/1992,,"Yakutia, Russia",Aeroflot,,Chekurdakh - Tiksi,Antonov AN-30,RA-30002,1403,10,10,0,"Autopilot engagement and disengagement resulted in oscillations of the aircraft which led to a loss of control and break-up in mid air. Pilot-induced lateral oscillations led to a stall, dive and break-up.","62.0396912,129.7422192",62.0396912,129.7422192
2/20/1992,,En route from Argentina  to  California,Aerolineas Argentinas,386,,Boeing B-747,,,,1,0,A passenger died of cholera while en route.,"36.7782610,-119.4179324",36.778261,-119.4179324
11/16/1991,,"Anderma, Russia",Aeroflot,,,Antonov AN-12V,,,20,20,0,Crash landed in poor weather conditions. Icing.,"69.7512210,61.6636961",69.751221,61.6636961
11/7/1991,,"Makhackala, Russia",Aeroflot,,Ellsta - Makhackala,Yakovlev YAK-40,CCCP-87526,9520841,51,51,0,Crashed into a mountain during daytime in poor weather. Failure of the crew to follow the correct approach path.,"42.9777885,47.5146913",42.9777885,47.5146913
9/26/1991,,"Off St. Petersburg, USSR",Aeroflot,,,Antonov AN-26,CCCP-46724,AN24021,10,10,0,Crashed into the Gulf of Finland 5 minutes after taking  offsea after taking off.,"59.9310584,30.3609096",59.9310584,30.3609096
9/23/1991,,"Khatanga, Russia",Aeroflot,,,Antonov 12BP,CCCP-13320,7345407,16,1,0,"Lost engine power due to fuel exhaustion during approach and made a forced landing 1,450m short of the runway.","71.9640270,102.4406129",71.964027,102.4406129
9/17/1991,,Ethiopia,Ethiopian Airlines,,,Lockheed L-100-30 Hercules,ET-AJL,5029,4,4,0,After experiencing a nose gear problem and attempting to return to the airport the cargo plane made a premature descent and struck Mount Arey.,"9.1450000,40.4896730",9.145,40.489673
9/16/1991,,"Petropavlosk, USSR",Aeroflot,,,Antonov AN-72,CCCP-74002,SU002,13,13,0,"The cargo plane struck trees, crashed and caught fire on takeoff.","53.0583997,158.6320734",53.0583997,158.6320734
6/26/1991,,"Gulf of Finland, Russia",Aeroflot,,Saint Petersburg - Voronezh,Antonov AN-24,CCCP-46724,7300304,10,10,0,The cargo plane crashed into the Gulf of Finland shortly after taking off.,"59.9124514,26.2623374",59.9124514,26.2623374
5/23/1991,13:06,"Leningrad, USSR",Aeroflot,,Sukhumi - Leningrad,Tupolev TU-154B-1,CCCP-85097,97,181,13,0,"Undershot the runway and broke in half after a hard landing. Crew error. A rapid rate of descent, leading to landing gear failure. The accident happened durining daylight in a rain shower.","59.9310584,30.3609096",59.9310584,30.3609096
3/3/1991,9:44," Colorado Springs, Colorado",United Air Lines,585,Denver - Colorado Springs,Boeing B-737-291,N999UA,22742/875,25,25,0,"While on final approach to Colorado Springs, the aircraft suddenly rolled to the right and pitched nose down until it reached an almost vertical attitude before hitting the ground. Uncommanded deflection of the rudder caused by the jamming of the main rudder PUC servo valve. The rudder malfunction forced the rudder to go in the opposite direction the pilots commanded it to go. First female pilot to die on the flight deck of a major U.S. airline.","38.8338816,-104.8213634",38.8338816,-104.8213634
12/3/1990,13:45,"Romulus, Michigan",Northwest Airlink,299/1482,Detroit - Pittsburg,Boeing B-727-251 / MD Douglas DC-9-14,N278US/N3313L,21157 / 45708/77,198,8,0,Ground collision in dense fog. The 727 was on its takeoff roll when the DC-9 taxied onto the active runway. Improper crew coordination aboard the DC-9.  Failure to stop and alert ATC of positional uncertainty. Eight killed aboard the DC-9. None aboard the B-727.,"42.2222614,-83.3965994",42.2222614,-83.3965994
11/19/1990,,"Ashkhabad, Turkmenistan, USSR",Aeroflot,,,Mil Mi-8T,CCCP-22389,,15,15,0,Crashed landed after experiencing severe turbulence and engine failure.,"37.9600766,58.3260629",37.9600766,58.3260629
11/14/1990,19:11,Switzerland,Alitalia,404,Milano - Zürich,McDonnell Douglas DC-9-32,I-ATJA,47641/746,46,46,0,"The aircraft continued to descend after intercepting the glide slope and hit high ground 6 miles from the airport. False indication of VHF NAV on unit No.1 in the aircraft. Possible misread altimeter by the pilot-in-command. Lack of GPWS warning in the cockpit. Crew was not aware of the possibility of incorrect indications in the NAV equipment in use. Non-compliance with basiprocedural instructions during the approach. ATC  did not observe the leaving of the cleared altitude of 4,000 ft.","46.8181880,8.2275120",46.818188,8.227512
9/14/1990,,"Koltsovo, Russia",Aeroflot,,Volgograd - Sverdlovsk,Yakovlev YAK-42,CCCP-42351,1811379,129,4,0,"The aircraft undershot on approach and crashed 1,700m short of the runway.  It is reported that the crew, who was apparently fatigued, failed to correctly follow procedures. The accident happened at night.","54.9378243,83.1782000",54.9378243,83.1782
8/1/1990,11:10,"Stepanakert, Azerbaijan, USSR",Aeroflot,,Yerevan - Zvartnots,Yakovlev YAK-40,CCCP-87453,9431036,47,47,0,"The aircraft crashed into a cloud covered mountain at 2,520m, 22km from its destination.  Premature descent.","39.8265279,46.7655746",39.8265279,46.7655746
6/10/1990,7:33,"Oxfordshire, England",British Airways,5390,"Birmingham, England - Malaga, Spain",BAC One-Eleven 528FL,G-BJRT,BAC 234,85,0,0,"While en route, at FL 173, a large section of windshield  fell away from the aircraft. The decompression pulled the captain out from under his seatbelt. Despite trying to hold onto the yoke, the captain was sucked out into the opening. A steward in the cockpit was able to grab hold of his legs. Another steward was able to strap himself into the vacant seat and aid in holding onto the captain's legs. The co-pilot wearing full restraints made an emergency landing at Southampton. The captain remained half way out of the aircraft for 15 minutes and suffered only frostbite and some fractures. Improper bolts used to replace the windshield two days earlier.","51.7612056,-1.2464674",51.7612056,-1.2464674
3/27/1990,11:00,"Kabul, Afghanistan",Aeroflot,,Kokand - Kabul,Ilyushin IL-76MD,CCCP-78781,83489670,11,11,0,The aircraft stalled while on final and crashed while on approach after being ordered by ATC to discontinue the approach. Pilot error.,"34.5553494,69.2074860",34.5553494,69.207486
1/25/1990,21:34,"Cove Neck, New York",AVIANCA,52,Medellin - New York City,Boeing B-707-321B,HK 2016,19276/592,158,73,0,"The aircraft was put in a series of extended holding patterns as it approached New York.The crew informed ATC they were running out of fuel but did not declare an emergency and were cleared to land. After a missed approach and during  a go-around, the plane ran out of fuel and crashed in a wooded area. The captain speaking very little English and communicating through the first officer, at no time declared an emergency. The first officer used the term 'we need priority' several times, rather than declaring an emergency. The ATC did not realize the peril of the aircraft. Failure of the crew to properly communicate the emergency situation to the ATC. Although blame was placed squarely on the crew there are several reasons why ATC should have  taken some responsibility for the accident. ATC was trying to land too many planes at once given the weather and number of missed approaches and aborted landing that were taking place. The plane was put in an extended holding pattern on three different occasions. The crew was not told of wind shear below 500 ft. which led to the aborted landing attempt. The plane was passed between three different controllers as it came out of its holding pattern to land. Each time the crew had to repeat their fuel situation.  The crew did say 'we are running out of fuel' numerous times only to be taken on a wide circling pattern after the first attempt at landing was aborted. Although the major blame was placed on the crew, in the end, the FAA paid 40% of compensations to the passenger's families.","40.8823207,-73.5059562",40.8823207,-73.5059562
